Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
ELGIEQUIP,0.218,1.25,0.308,0.355,1.27,0.597,1.46,-7.879946567216242,39.37052153527867
KELLTONTEC,1.09,4.73,2.14,1.86,1.5,1.66,1.26,-7.878518546178556,95.7904584323971
PEL,1.51,2.07,1.49,0.887,1.57,1.25,1.07,-7.846635270241315,29.632504507890967
EDELWEISS,2.06,4.32,1.64,1.28,1.2,1.2,1.51,-7.790556661260157,155.06986296939183
TASTYBITE,1.04,1.16,0.469,-0.318,0.513,0.576,1.09,-7.783585985158016,43.784176004331655
ASHAPURMIN,1.75,3.55,1.37,2.19,1.7,1.3,1.1,-7.778661313327903,189.2709218925703
PAVNAIND,0.0,1.06,0.507,1.18,0.0,0.0,0.0,-7.723747980270837,112.81846026360331
EVERESTIND,1.5,2.24,1.05,0.558,0.629,0.743,1.11,-7.723019537747569,50.59234308875485
PNCINFRA,1.02,1.71,1.11,0.817,0.942,0.964,0.246,-7.710479687687724,50.317611437299846
ETHOSLTD,0.0,2.25,1.22,1.01,0.0,0.0,0.0,-7.708638228468019,157.01072243053687
LOVABLE,1.53,4.27,1.58,0.199,1.02,1.13,1.24,-7.683905912063811,31.619933523653575
VASWANI,1.11,2.3,1.09,1.41,1.47,1.25,0.542,-7.656065822353011,88.46154904224503
JUBLINDS,1.95,1.49,0.779,1.02,1.32,1.34,1.1,-7.613801481374466,225.26604014503857
GUJGASLTD,0.798,1.85,0.856,0.752,0.652,1.02,1.0,-7.599635300935866,20.349629038232138
KUANTUM,1.3,4.27,2.08,1.41,1.25,1.03,0.737,-7.583076326099689,16.13132752330369
DICIND,0.556,1.22,1.39,0.86,0.513,0.749,0.094,-7.575599407327586,10.40557358503644
VARDHACRLC,0.796,3.82,2.05,1.05,1.03,1.02,0.862,-7.56235019717964,16.413379005606174
WSTCSTPAPR,1.43,2.75,1.7,0.202,1.18,1.48,1.71,-7.555394115510353,18.95270063637285
TAKE,1.69,3.59,2.96,0.0318,1.27,1.81,1.6,-7.5435231495674895,49.843259588298494
ABSLAMC,0.0,2.12,1.14,0.572,0.474,0.64,0.771,-7.521396060828284,44.398363525984976
VAIBHAVGBL,1.02,3.91,1.78,-0.0313,0.827,0.57,0.293,-7.501476668635558,32.82017816725831
KAUSHALYA,0.985,2.37,321.7,52.97,24.23,11.03,-34.06,-7.421306004459191,63.47674702489099
RKFORGE,1.16,2.46,0.994,1.03,1.29,1.1,1.19,-7.412866996376508,145.1585459893693
MURUDCERA,1.39,5.67,1.59,-0.677,0.872,1.16,0.641,-7.390919702764776,49.210910406822975
KICL,0.984,2.46,1.91,0.223,0.955,1.14,0.705,-7.38400646067555,122.7808549921886
MEGASTAR,0.0,2.28,0.558,0.279,1.12,0.937,1.38,-7.364997135228996,30.46415780560722
